cat	label	totalWords	totalSentences	avgSentLen	sentLenStdDev	shortSentRatio	longSentRatio	emdash	emdashPer1k	absnoun	nomDensity	epigram	epigramPer1k	isocolon	isocolonPer1k	antithesis	antithesisPer1k	anadiplosis	anadipPer1k	contractionPer1k	firstPersonPer1k	questionRate	transitionPer1k	hedgePer1k	parenPer1k	exclamationRate	semicolonPer1k	colonPer1k
A-human-pre	PG-GreatWork-2023	11947	745	16.0	8.3	5.8	7.0	23	1.9	240	2.01	53	4.4	72	6.0	20	1.7	21	1.8	39.5	3.7	3.2	0.5	2.3	0.6	0.3	3.2	3.0
A-human-pre	PG-HackersPainters-2003	5627	333	16.9	9.0	5.7	11.1	0	0.0	74	1.32	17	3.0	33	5.9	15	2.7	6	1.1	17.8	16.0	2.4	0.0	2.0	0.7	0.0	0.5	1.6
A-human-pre	PG-BeatingAverages-2001	4500	275	16.4	10.0	8.0	12.0	0	0.0	61	1.36	13	2.9	27	6.0	4	0.9	7	1.6	24.7	11.8	5.8	0.2	1.3	1.6	0.4	0.9	3.3
A-human-pre	PG-WhyNerds-2003	5723	388	14.8	8.0	7.7	5.9	0	0.0	101	1.76	26	4.5	61	10.7	12	2.1	11	1.9	23.8	17.6	5.2	0.2	1.4	2.3	0.3	2.3	1.9
A-human-pre	PG-DoThingsDontScale-2013	4424	230	19.2	10.4	6.5	15.7	14	3.2	45	1.02	14	3.2	17	3.8	7	1.6	6	1.4	32.1	5.0	3.9	0.0	2.0	2.3	0.0	0.5	1.8
A-human-pre	PG-StartupIdeas-2012	7299	407	17.9	9.7	5.2	12.3	9	1.2	69	0.95	22	3.0	46	6.3	14	1.9	4	0.5	33.0	6.3	7.9	0.1	2.9	2.2	0.2	2.9	2.7
A-human-pre	PG-SchlepBlindness-2012	856	56	15.3	9.1	7.1	5.4	1	1.2	17	1.99	3	3.5	4	4.7	2	2.3	2	2.3	30.4	15.2	10.7	0.0	4.7	1.2	0.0	0.0	1.2
A-human-pre	Spolsky-NeverRewrite-2000	1577	99	15.9	10.5	16.2	11.1	0	0.0	16	1.01	13	8.2	4	2.5	2	1.3	6	3.8	0.0	8.9	6.1	0.0	0.6	0.6	5.1	31.1	3.8
A-human-pre	Spolsky-LeakyAbstractions-2002	2322	98	23.7	17.9	12.2	31.6	0	0.0	42	1.81	8	3.4	3	1.3	1	0.4	1	0.4	0.0	10.8	3.1	0.9	2.2	3.9	2.0	32.7	2.6
A-human-pre	Spolsky-JavaSchools-2005	2578	125	20.6	15.8	21.6	23.2	0	0.0	51	1.98	15	5.8	6	2.3	3	1.2	3	1.2	0.0	18.2	8.0	0.0	1.6	5.4	6.4	36.5	2.3
A-human-pre	Atwood-NoCode-2007	1124	71	15.8	12.4	25.4	21.1	1	0.9	21	1.87	10	8.9	7	6.2	0	0.0	4	3.6	0.9	21.4	4.2	0.0	0.0	2.7	1.4	3.6	5.3
A-human-pre	Atwood-CodeSmells-2006	1404	91	15.4	9.1	12.1	9.9	1	0.7	21	1.50	8	5.7	5	3.6	1	0.7	5	3.6	0.7	8.5	12.1	0.0	2.1	2.1	3.3	5.0	2.1
A-human-pre	Atwood-MagpieDev-2008	1472	89	16.5	10.8	21.3	19.1	1	0.7	21	1.43	13	8.8	6	4.1	3	2.0	3	2.0	0.7	27.9	4.5	0.0	4.1	3.4	1.1	2.0	7.5
A-human-pre	patio11-DontCallYourself-2011	5795	282	20.5	15.0	10.3	25.2	21	3.6	130	2.24	22	3.8	19	3.3	8	1.4	1	0.2	0.0	13.3	5.0	0.0	2.2	7.9	0.4	0.9	6.6
A-human-pre	patio11-SalaryNeg-2012	7121	324	22.0	17.2	15.1	26.2	8	1.1	190	2.67	32	4.5	18	2.5	5	0.7	10	1.4	0.0	21.8	8.0	0.3	2.2	8.8	1.2	0.4	10.3
A-human-pre	Gwern-ScalingHypothesis-2020	17503	562	31.1	27.3	8.0	39.7	68	3.9	395	2.26	37	2.1	34	1.9	16	0.9	13	0.7	0.0	5.4	13.7	0.3	2.9	10.9	1.8	3.6	6.3
A-human-pre	Yegge-KingdomNouns-2006	11828	762	15.5	12.5	15.2	9.8	6	0.5	203	1.72	55	4.6	76	6.4	13	1.1	6	0.5	16.7	14.4	4.2	0.6	2.7	10.0	6.2	4.6	15.2
A-human-pre	Ceglowski-WebDesign100-2014	6441	408	15.8	9.0	7.1	7.4	7	1.1	101	1.57	28	4.3	46	7.1	11	1.7	2	0.3	16.5	7.6	2.9	0.2	1.1	0.9	2.9	0.2	2.0
A-human-pre	Swartz-Productivity-2005	5856	287	20.4	13.2	4.5	17.4	0	0.0	80	1.37	19	3.2	26	4.4	8	1.4	5	0.9	0.0	42.5	5.9	0.0	1.2	5.1	2.4	48.7	4.8
B-human-post	DanLuu-CocktailIdeas	6965	210	33.2	19.5	4.8	51.4	2	0.3	139	2.00	7	1.0	14	2.0	7	1.0	1	0.1	18.7	16.9	1.9	0.4	4.2	6.0	1.0	0.6	1.1
B-human-post	DanLuu-SoundsEasy	2114	90	23.5	14.6	7.8	28.9	0	0.0	36	1.70	5	2.4	5	2.4	1	0.5	3	1.4	32.2	16.1	7.8	0.5	3.8	2.4	6.7	0.9	0.5
B-human-post	DanLuu-Moneyball	4088	182	22.5	14.0	7.7	26.9	0	0.0	75	1.83	9	2.2	10	2.4	5	1.2	2	0.5	34.2	28.6	3.8	0.0	1.7	3.9	3.8	0.7	1.0
B-human-post	DrewDeVault-SupplyChain-2022	655	23	28.5	35.5	8.7	30.4	0	0.0	9	1.37	1	1.5	0	0.0	0	0.0	1	1.5	1.5	15.3	17.4	3.1	1.5	6.1	4.3	9.2	76.3
C-ai-co	Anthropic-EffectiveAgents	2763	142	19.5	9.3	3.5	9.2	6	2.2	90	3.26	6	2.2	9	3.3	1	0.4	3	1.1	0.0	0.0	2.1	1.1	1.8	4.7	0.0	11.2	13.4
C-ai-co	Anthropic-SWEBench	2923	121	24.2	19.0	7.4	24.0	3	1.0	95	3.25	8	2.7	10	3.4	6	2.1	5	1.7	0.0	2.1	0.8	1.4	2.1	10.6	1.7	15.4	30.1
C-ai-co	Anthropic-ClaudeCharacter	1748	66	26.5	13.1	0.0	36.4	6	3.4	42	2.40	1	0.6	1	0.6	5	2.9	1	0.6	0.0	8.6	0.0	1.1	4.0	0.0	0.0	4.6	2.3
C-ai-co	Anthropic-MappingMind	1982	74	26.8	12.6	0.0	36.5	10	5.0	44	2.22	1	0.5	6	3.0	3	1.5	0	0.0	0.0	2.0	2.7	0.5	3.5	8.6	0.0	9.6	5.0
C-ai-co	Anthropic-SleeperAgents	4117	148	27.8	14.9	0.7	45.3	1	0.2	215	5.22	3	0.7	9	2.2	2	0.5	4	1.0	0.0	0.7	6.1	1.7	2.4	10.9	0.7	2.7	10.4
C-ai-co	Anthropic-TracingThoughts	3242	144	22.5	11.6	2.1	27.1	19	5.9	100	3.08	5	1.5	12	3.7	5	1.5	1	0.3	0.0	0.3	9.7	0.6	2.8	6.8	0.0	6.2	5.2
C-ai-co	Anthropic-ContextualRetrieval	2380	107	22.2	15.7	0.9	15.9	2	0.8	82	3.45	3	1.3	13	5.5	0	0.0	4	1.7	0.0	0.4	0.0	1.7	1.7	11.8	0.0	13.9	9.2
C-ai-co	Anthropic-ManyShotJailbreaking	1620	68	23.8	11.0	4.4	30.9	13	8.0	39	2.41	4	2.5	3	1.9	1	0.6	2	1.2	0.0	1.9	4.4	0.6	3.1	10.5	0.0	2.5	7.4
C-ai-co	Anthropic-TargetedRegulation	2655	111	23.9	11.3	0.9	30.6	6	2.3	105	3.95	3	1.1	8	3.0	5	1.9	3	1.1	0.0	0.0	5.4	1.9	2.6	4.9	0.0	2.3	9.0
C-ai-co	Anthropic-InfluenceFunctions	1155	48	24.1	10.2	0.0	29.2	1	0.9	68	5.89	1	0.9	3	2.6	0	0.0	3	2.6	0.0	0.0	6.3	1.7	1.7	6.9	0.0	0.9	5.2
C-ai-co	Anthropic-CoreViewsSafety	6757	255	26.5	11.6	0.8	33.3	2	0.3	200	2.96	4	0.6	15	2.2	8	1.2	6	0.9	0.0	0.0	1.6	1.9	4.1	4.4	0.4	3.3	2.8
C-ai-co	Mistral-Codestral	760	26	29.2	50.6	0.0	11.5	1	1.3	16	2.11	0	0.0	1	1.3	0	0.0	1	1.3	0.0	0.0	0.0	0.0	1.3	11.8	3.8	1.3	1.3
C-ai-co	Mistral-Large2	987	38	26.0	13.4	0.0	18.4	0	0.0	52	5.27	0	0.0	6	6.1	0	0.0	0	0.0	0.0	0.0	0.0	2.0	0.0	9.1	0.0	4.1	4.1
C-ai-co	Mistral-MixtralOfExperts	668	46	14.5	6.6	10.9	4.3	0	0.0	28	4.19	4	6.0	6	9.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	1.5	1.5
C-ai-co	Mistral-CodestralOriginal	1260	57	22.1	16.1	8.8	19.3	0	0.0	57	4.52	6	4.8	4	3.2	0	0.0	2	1.6	0.0	4.8	0.0	0.8	0.8	1.6	0.0	15.9	5.6
C-ai-co	HuggingFace-Llama3	2375	91	26.1	20.5	1.1	22.0	0	0.0	96	4.04	2	0.8	10	4.2	0	0.0	3	1.3	0.4	1.3	6.6	0.0	0.4	10.5	9.9	0.0	13.1
C-ai-co	HuggingFace-OpenLLMLeaderboard	2707	105	25.8	20.7	13.3	36.2	0	0.0	120	4.43	7	2.6	13	4.8	2	0.7	0	0.0	4.4	0.7	12.4	0.0	2.6	12.2	4.8	0.4	23.6
C-ai-co	HuggingFace-Mixtral	2336	81	28.8	22.9	0.0	25.9	0	0.0	87	3.72	1	0.4	9	3.9	1	0.4	4	1.7	2.6	0.0	3.7	0.4	0.0	14.1	7.4	1.3	13.7
C-ai-co	HuggingFace-SafetensorsAudit	986	45	21.9	13.8	4.4	15.6	0	0.0	34	3.45	2	2.0	7	7.1	1	1.0	1	1.0	7.1	0.0	4.4	0.0	2.0	11.2	2.2	0.0	6.1
C-ai-co	HuggingFace-MixtureOfExperts	5124	256	20.0	15.8	6.3	17.2	0	0.0	217	4.23	17	3.3	25	4.9	9	1.8	8	1.6	2.5	1.2	11.7	0.2	2.0	17.0	1.6	0.4	67.1
C-ai-co	HuggingFace-PersonalCopilot	3295	163	20.2	17.8	8.0	14.7	0	0.0	95	2.88	15	4.6	13	3.9	2	0.6	2	0.6	7.6	3.0	2.5	2.4	0.6	4.6	4.3	0.0	20.3
C-ai-co	HuggingFace-DPOFineTuning	1656	38	43.6	35.1	2.6	55.3	0	0.0	62	3.74	1	0.6	2	1.2	2	1.2	0	0.0	0.0	0.0	0.0	0.6	4.8	9.7	7.9	0.0	13.9
C-ai-co	HuggingFace-RLHF	3978	175	22.7	14.1	4.6	18.3	0	0.0	148	3.72	9	2.3	15	3.8	1	0.3	2	0.5	2.3	1.3	3.4	1.0	3.0	18.4	1.1	0.5	57.3
C-ai-co	HuggingFace-PEFT	1202	44	27.3	18.5	2.3	29.5	3	2.5	40	3.33	1	0.8	5	4.2	3	2.5	3	2.5	5.8	0.8	0.0	0.8	0.0	21.6	9.1	0.0	94.8
C-ai-co	HuggingFace-Falcon	2571	90	28.6	24.4	3.3	30.0	3	1.2	92	3.58	3	1.2	9	3.5	2	0.8	1	0.4	5.8	0.4	3.3	0.8	1.2	14.4	7.8	0.8	12.1
C-ai-co	HuggingFace-StarCoder	1073	49	21.9	20.2	0.0	16.3	0	0.0	56	5.22	0	0.0	4	3.7	0	0.0	4	3.7	2.8	3.7	0.0	0.0	0.0	3.7	14.3	0.0	308.5
C-ai-co	NVIDIA-TensorRTLLM	2390	94	25.4	27.3	10.6	26.6	6	2.5	126	5.27	10	4.2	5	2.1	1	0.4	2	0.8	0.0	0.8	0.0	0.4	1.3	5.0	0.0	1.3	1.7
C-ai-co	NVIDIA-LLMInferenceOptimization	5413	259	20.9	15.6	7.3	17.8	9	1.7	285	5.27	15	2.8	18	3.3	4	0.7	9	1.7	0.0	0.4	0.0	0.9	1.1	13.7	0.4	0.9	5.2
C-ai-co	NVIDIA-SuperchargingLlama31	2137	88	24.3	28.2	5.7	18.2	3	1.4	104	4.87	4	1.9	7	3.3	0	0.0	5	2.3	0.0	0.0	0.0	0.5	0.0	8.9	0.0	2.8	4.2
C-ai-co	TogetherAI-MixtureOfAgents	2799	152	18.4	14.8	7.9	7.2	3	1.1	96	3.43	6	2.1	14	5.0	1	0.4	2	0.7	0.0	0.0	3.3	2.9	0.4	5.0	2.6	2.1	12.5
C-ai-co	TogetherAI-RedPajamaV2	4783	216	22.1	21.3	6.9	17.6	1	0.2	217	4.54	9	1.9	30	6.3	0	0.0	2	0.4	0.0	0.0	1.9	1.5	1.0	10.5	3.2	0.8	15.7
C-ai-co	AmazonAI-EvaluateLLMs	3104	142	21.9	13.9	5.6	19.0	0	0.0	181	5.83	4	1.3	10	3.2	1	0.3	5	1.6	0.3	0.0	1.4	0.6	0.3	15.1	0.0	1.6	16.8
C-ai-co	AI21-Jamba2	973	34	28.6	12.0	2.9	47.1	2	2.1	50	5.14	1	1.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	2.9	5.1	12.3
C-ai-co	Microsoft-AutoGen	1385	58	23.9	18.5	6.9	27.6	1	0.7	62	4.48	5	3.6	3	2.2	0	0.0	1	0.7	0.0	1.4	1.7	0.0	0.0	17.3	0.0	1.4	15.9
C-ai-co	Databricks-DBRX	3671	180	20.4	15.8	8.3	15.6	21	5.7	117	3.19	12	3.3	15	4.1	1	0.3	4	1.1	0.0	0.0	0.6	0.5	1.4	15.5	0.0	0.5	3.3
C-ai-co	Databricks-FP8Training	1066	58	18.4	9.1	6.9	8.6	0	0.0	45	4.22	5	4.7	2	1.9	1	0.9	0	0.0	0.0	0.0	0.0	2.8	1.9	6.6	3.4	0.9	3.8
C-ai-co	AllenAI-OLMo	1130	46	24.6	14.1	0.0	30.4	0	0.0	28	2.48	1	0.9	2	1.8	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.7	8.8	4.3	12.4	7.1
C-ai-co	LangChain-LangGraph	1904	101	18.9	13.3	3.0	9.9	0	0.0	45	2.36	6	3.2	6	3.2	0	0.0	7	3.7	8.9	0.0	0.0	2.1	3.7	13.7	5.0	0.5	12.6
C-ai-co	LangChain-ReflectionAgents	1342	56	24.0	17.1	8.9	25.0	0	0.0	48	3.58	4	3.0	5	3.7	0	0.0	0	0.0	4.5	0.0	0.0	0.7	0.7	35.0	8.9	0.0	27.6
C-ai-co	LangChain-ToolCalling	1555	61	25.5	28.1	6.6	19.7	1	0.6	27	1.74	3	1.9	3	1.9	1	0.6	1	0.6	6.4	0.0	3.3	0.0	0.6	27.0	6.6	0.0	36.7
C-ai-co	Pinecone-RAG	2193	92	23.8	18.8	4.3	19.6	0	0.0	88	4.01	5	2.3	9	4.1	3	1.4	8	3.6	0.0	0.0	7.6	1.4	1.4	4.6	0.0	2.7	10.5
C-ai-co	Pinecone-RAGStudy	2733	138	19.8	12.8	10.1	15.2	2	0.7	142	5.20	10	3.7	11	4.0	1	0.4	4	1.5	0.0	1.8	2.2	1.5	0.7	9.9	0.0	9.5	18.3
C-ai-co	Pinecone-ChunkingStrategies	2634	122	21.6	7.8	0.8	13.1	0	0.0	84	3.19	2	0.8	12	4.6	0	0.0	4	1.5	0.0	0.0	12.3	0.8	1.1	5.3	1.6	0.8	4.6
C-ai-co	Replicate-Llama2API	582	29	20.1	20.0	13.8	20.7	0	0.0	4	0.69	1	1.7	1	1.7	0	0.0	1	1.7	1.7	0.0	3.4	0.0	0.0	8.6	3.4	6.9	34.4
C-ai-co	Replicate-AllLlamas	484	29	16.7	10.3	6.9	10.3	0	0.0	12	2.48	0	0.0	3	6.2	0	0.0	2	4.1	0.0	0.0	17.2	0.0	0.0	2.1	3.4	0.0	18.6
C-ai-co	Vercel-AISDK3	1543	57	27.1	33.8	5.3	26.3	0	0.0	46	2.98	3	1.9	4	2.6	1	0.6	1	0.6	0.0	1.9	17.5	1.9	0.0	11.7	5.3	31.8	16.2
C-ai-co	Vercel-PackageImports	1605	60	26.8	33.0	5.0	16.7	0	0.0	51	3.18	2	1.2	3	1.9	2	1.2	2	1.2	0.0	4.4	6.7	1.2	0.0	18.7	1.7	30.5	11.8
C-ai-co	LightningAI-FalconGuide	849	41	20.7	11.1	7.3	19.5	0	0.0	31	3.65	3	3.5	2	2.4	0	0.0	2	2.4	0.0	0.0	0.0	0.0	0.0	3.5	7.3	0.0	7.1
C-ai-co	LightningAI-LightningV2	1186	55	21.6	20.9	10.9	18.2	0	0.0	30	2.53	6	5.1	7	5.9	0	0.0	1	0.8	0.0	0.0	12.7	0.0	0.8	27.0	5.5	2.5	9.3
C-ai-co	LightningAI-MixedPrecision	3295	129	25.5	16.8	3.9	26.4	0	0.0	111	3.37	7	2.1	11	3.3	4	1.2	4	1.2	0.0	1.8	4.7	4.2	4.2	20.0	3.9	13.7	16.1
C-ai-co	EleutherAI-YearOne	4725	221	21.4	14.5	8.6	24.0	1	0.2	83	1.76	11	2.3	19	4.0	2	0.4	3	0.6	6.3	14.8	3.6	0.0	2.3	4.9	5.4	0.4	8.9
C-ai-co	Cloudflare-StreamingLLMs	1303	46	28.3	24.0	13.0	41.3	2	1.5	34	2.61	4	3.1	2	1.5	1	0.8	1	0.8	0.8	0.0	0.0	0.0	0.8	12.3	0.0	10.7	26.9
C-ai-co	Cloudflare-MarkdownAgents	1693	73	23.2	15.5	11.0	26.0	1	0.6	37	2.19	1	0.6	4	2.4	6	3.5	1	0.6	1.8	0.0	1.4	0.0	0.0	1.2	0.0	3.5	21.3
C-ai-co	Cloudflare-Mistral7B	2047	83	24.7	17.9	8.4	31.3	5	2.4	118	5.76	2	1.0	6	2.9	3	1.5	2	1.0	0.5	0.0	2.4	0.5	0.5	7.8	4.8	7.8	15.6
C-ai-co	Cloudflare-Vectorize	3391	122	27.8	25.0	9.8	39.3	11	3.2	65	1.92	6	1.8	9	2.7	1	0.3	2	0.6	0.0	1.2	5.7	0.3	0.9	15.6	0.8	26.5	35.4
C-ai-co	NeptuneAI-OptimizeLLM	4934	260	19.0	11.7	2.7	9.6	5	1.0	217	4.40	9	1.8	22	4.5	2	0.4	8	1.6	0.0	0.2	0.8	1.2	1.6	15.8	0.4	0.6	6.5
C-ai-co	NeptuneAI-EvalRAG	7937	388	20.5	11.3	4.9	16.0	14	1.8	338	4.26	21	2.6	46	5.8	8	1.0	5	0.6	0.0	4.3	3.6	1.6	2.6	10.3	0.3	1.4	11.0
C-ai-co	NeptuneAI-SyntheticData	3452	179	19.3	9.9	3.9	8.4	2	0.6	173	5.01	8	2.3	16	4.6	4	1.2	2	0.6	0.0	0.3	1.7	2.6	0.6	6.7	0.6	1.7	4.3
C-ai-co	NeptuneAI-LLMGrounding	2588	132	19.6	11.9	6.8	11.4	2	0.8	134	5.18	6	2.3	19	7.3	0	0.0	5	1.9	0.0	0.4	5.3	1.9	2.3	12.0	0.8	6.2	6.6
C-ai-co	NeptuneAI-Embeddings	4040	201	20.1	10.0	2.0	11.4	2	0.5	171	4.23	6	1.5	24	5.9	5	1.2	6	1.5	0.0	0.2	3.5	1.0	2.2	11.1	2.0	9.9	4.7
C-ai-co	NeptuneAI-DeadNeurons	3343	180	18.6	11.1	3.9	11.7	2	0.6	165	4.94	6	1.8	16	4.8	3	0.9	0	0.0	0.0	1.5	2.2	1.2	3.6	7.5	0.6	2.1	11.7
C-ai-co	NeptuneAI-PromptInjection	5507	288	19.1	11.3	4.2	10.1	2	0.4	256	4.65	12	2.2	23	4.2	3	0.5	9	1.6	0.0	2.2	3.1	2.5	1.8	3.1	1.4	14.9	6.0
C-ai-co	NeptuneAI-InstructFineTuning	4203	173	24.3	17.3	0.6	21.4	2	0.5	330	7.85	1	0.2	19	4.5	8	1.9	4	1.0	0.0	0.2	1.7	0.7	1.9	20.7	0.6	10.2	21.4
C-ai-co	Cerebras-SpeedAccuracy	1641	82	20.0	11.8	7.3	11.0	20	12.2	67	4.08	3	1.8	8	4.9	0	0.0	2	1.2	0.0	0.0	1.2	0.6	3.7	7.9	1.2	0.6	14.6
C-ai-co	Cerebras-MoEFundamentals	1308	117	11.2	12.6	41.9	9.4	0	0.0	21	1.61	7	5.4	10	7.6	1	0.8	1	0.8	0.0	3.1	4.3	0.0	0.0	26.0	0.0	12.2	39.8
C-ai-co	Cerebras-ScalingLaw	945	53	17.8	10.1	7.5	11.3	11	11.6	31	3.28	1	1.1	9	9.5	1	1.1	2	2.1	0.0	0.0	3.8	0.0	1.1	0.0	0.0	0.0	4.2
C-ai-co	Cerebras-MoERouter	1860	128	14.5	11.6	22.7	10.2	0	0.0	57	3.06	11	5.9	10	5.4	1	0.5	2	1.1	0.0	1.1	9.4	0.0	1.1	24.2	2.3	1.1	26.9
C-ai-co	Cerebras-MoEDebug	2814	207	13.6	10.6	22.7	5.8	0	0.0	52	1.85	15	5.3	15	5.3	2	0.7	0	0.0	0.0	0.4	4.8	0.4	1.1	15.6	5.3	0.7	18.8
C-ai-co	Cerebras-MoEScale	3697	220	16.8	12.7	20.5	12.3	0	0.0	143	3.87	12	3.2	20	5.4	4	1.1	3	0.8	0.0	1.1	4.1	1.1	1.1	19.2	0.0	0.8	15.7
C-ai-co	Cerebras-LatencyDebt	1230	84	14.6	10.5	17.9	7.1	0	0.0	40	3.25	10	8.1	7	5.7	1	0.8	3	2.4	0.0	4.9	2.4	0.0	0.8	4.1	0.0	17.9	5.7
C-ai-co	Lambda-JAXonGPUs	5486	24	228.6	542.6	0.0	79.2	0	0.0	124	2.26	0	0.0	0	0.0	2	0.4	0	0.0	0.5	0.0	25.0	0.0	0.2	98.4	4.2	2.9	101.0
C-ai-co	Lambda-2025AIWrapped	3363	243	13.8	9.1	20.2	5.8	6	1.8	210	6.24	19	5.6	27	8.0	8	2.4	3	0.9	2.7	0.0	2.1	0.6	1.5	10.4	0.0	1.5	10.1
C-ai-co	Lambda-NeurIPS2025	1870	97	19.3	11.0	5.2	17.5	1	0.5	74	3.96	8	4.3	11	5.9	8	4.3	3	1.6	0.0	4.3	1.0	0.0	4.3	7.0	0.0	3.2	13.4
C-ai-co	Lambda-KimiK2	1209	66	18.3	14.3	9.1	9.1	3	2.5	62	5.13	6	5.0	9	7.4	1	0.8	1	0.8	3.3	0.0	1.5	0.8	0.0	8.3	0.0	1.7	24.0
C-ai-co	Lambda-KimiK2vLLM	589	20	29.4	20.7	10.0	30.0	1	1.7	13	2.21	3	5.1	2	3.4	1	1.7	0	0.0	0.0	0.0	0.0	0.0	0.0	13.6	0.0	0.0	34.0
D-suspected	Mollick-WhatJustHappened	352	4	88.0	122.6	0.0	50.0	0	0.0	4	1.14	1	2.8	0	0.0	1	2.8	0	0.0	2.8	0.0	25.0	0.0	0.0	0.0	0.0	0.0	8.5
D-suspected	Mollick-SignsPortents	2934	123	23.9	12.8	4.1	28.5	4	1.4	63	2.15	3	1.0	10	3.4	2	0.7	0	0.0	0.3	12.3	0.8	1.0	2.4	7.5	0.8	0.0	2.7
D-suspected	AlgoBridge-O1Paradigm	452	3	150.7	101.8	0.0	66.7	1	2.2	10	2.21	0	0.0	0	0.0	0	0.0	0	0.0	8.8	2.2	0.0	0.0	0.0	2.2	0.0	2.2	11.1
D-suspected	ImportAI-388	408	13	31.4	16.8	7.7	61.5	0	0.0	16	3.92	1	2.5	1	2.5	0	0.0	0	0.0	0.0	0.0	76.9	0.0	0.0	0.0	0.0	44.1	34.3
D-suspected	LatentSpace-2024Papers	521	11	47.4	30.4	9.1	63.6	6	11.5	9	1.73	1	1.9	0	0.0	0	0.0	0	0.0	3.8	0.0	0.0	0.0	0.0	5.8	9.1	1.9	40.3
D-suspected	LatentSpace-Agents	3284	117	28.1	23.5	14.5	38.5	3	0.9	99	3.01	13	4.0	10	3.0	1	0.3	2	0.6	0.9	4.3	12.8	0.0	1.2	12.8	7.7	0.3	8.8
E-willison	Willison-GitScraping-2020	1224	58	21.1	16.3	17.2	27.6	4	3.3	16	1.31	9	7.4	4	3.3	0	0.0	0	0.0	0.0	24.5	0.0	0.0	0.0	4.9	3.4	3.3	37.6
E-willison	Willison-ChatGPTAccess-2023	1331	54	24.6	21.7	13.0	29.6	7	5.3	33	2.48	7	5.3	1	0.8	2	1.5	0	0.0	0.0	29.3	0.0	0.0	3.8	1.5	13.0	4.5	27.8
E-willison	Willison-GPT4Barrier-2024	898	43	20.9	16.1	14.0	27.9	9	10.0	12	1.34	5	5.6	4	4.5	0	0.0	0	0.0	0.0	35.6	0.0	0.0	1.1	2.2	7.0	2.2	12.2
E-willison	Willison-WeirdWorld-2023	6634	393	16.9	11.5	8.4	9.9	50	7.5	113	1.70	32	4.8	30	4.5	4	0.6	10	1.5	0.0	26.4	4.1	0.2	1.4	1.1	8.7	0.5	6.3
